tweet,stance
ఆది నాగ రాఖీ RRR సాంబ అశోక్ సుబ్బు టెంపర్ అదుర్స్ సింహాద్రి భాదుషా ఊసరవెల్లి యమదొంగ నా అల్లుడు ఆంధ్రావాలా బృందావనం…,favour
చలన చిత్రం అంటే రాంచరణ్ ఎ గుర్తుకు వస్తునడు ఎన్టీఆర్ ని ఎవరు గుర్తించటం లేదు ,neutral
ప్రత్యేక హోదా పై పోరాడినందుకు నీకు ఇవ్వవలసిన Oscar అవార్డు RRR పాటకు ఇచ్చారు అయ్యాబాబోయ్ ఏం నటన నీది నిం…,favour
రాజమౌళి ఈ పక్షుల విన్యాసాలు చూసి RRR లో నాటు  నాటు పాట తీసినట్టున్నాడు,favour
Oscar పై శనార్తి స్పెషల్ ఎడిషన్     …,favour
 బార్బర్ టు Oscar  రాహుల్ సిప్లిగంజ్    …,favour
" శ్రీ  జీ , మీరు చూపించిన అభిమానానికి మనస్ఫూర్తిగా కృతజ్ఞతలు ఈ విజయం  టీం అంద…",favour
నాటు నాటు'కు జర్మన్ ఎంబసీ డ్యాన్స్,favour
రాజమౌళి ఈ పక్షుల విన్యాసాలు చూసి RRR లో నాటు  నాటు పాట తీసినట్టున్నాడు,favour
వీడు ఎవడో చూడండి rrr స్క్రిఫ్ట్ రైటర్ అట అది బిజెపి మెంబర్ అంట,against
అందరికీ శ్రీ శోభకృత్ నామ సంవత్సర 'ఉగాది' శుభాకాంక్షలు ,neutral
 1 ఇయర్ For RRR ఫ్రీ రిలీజ్ ఈవెంట్ లో పావలా గాడి అభిమానులు గుపగలగోట్టిన సన్నివేశం,against
 రాజమౌళి ఈ పక్షుల విన్యాసాలు చూసి RRR లో నాటు  నాటు పాట తీసినట్టున్నాడు,favour
  Oscarస్ గెలుచుకున్న RRR నాటు  నాటు  పాటను సెలబ్రేట్ చేస్తూ న్యూజెర్సీలోని ఓ పార్కింగ్ లాట్ లోని టెస్లా కార్లన్నీ ఇలా లైట్…,favour
  భారతీయ చిత్రసీమలో ఇద్దరు దిగ్గజాలు  మరియు  లను కలవడం ఆనందంగా ఉంది తెలుగు సినిమా పరిశ్రమ భారతదే…,favour
  రాజమౌళి ఈ పక్షుల విన్యాసాలు చూసి RRR లో నాటు  నాటు పాట తీసినట్టున్నాడు,favour
దువ్వూరు నెయ్యి కారం దోస       …,against
టెస్లా ‘నాటు నాటు’ వీడియో చూసి జక్కన్న ఎమోషనల్!,favour
  రాజమౌళి ఈ పక్షుల విన్యాసాలు చూసి RRR లో నాటు  నాటు పాట తీసినట్టున్నాడు,favour
  మోడీనే క్రికెట్ వరల్డ్ కప్ గెలిపించిండు మోడీనే  తీసి Oscar తెచ్చిండు అట్లనే తెలంగాణలో ఫాక్స్ కాన్ పెట్టుబడులు…,against
" మొన్న RRR కి Oscar కోసం డబ్బులు ఖర్చుపెట్టారు అని ఎవడో అంటే, ఉచ్చ ఆపుకోలేక ఊరిమీద పడ్డ కళామ్మ తల్లి కల్తీ బిడ్డలు …",against
 రాజమౌళి ఈ పక్షుల విన్యాసాలు చూసి RRR లో నాటు  నాటు పాట తీసినట్టున్నాడు,favour
